IBMS Reports,,,,,,,,
All Applications Received - Extract,,,,,,,,
Selected District: ALL,,,,,,,,
Selected Folder Type: OZ,,,,,,,,
Selected Folder Status: ALL,,,,,,,,
Selected Period: 11/08/2021 To 11/14/2021,,,,,,,,
District,Application Type,File Number,Address,InDate,Status,Folder Description,Folder Name,ARoll
Etobicoke York District,OPA / Rezoning,21 235704 WET 03 OZ,2417 LAKE SHORE BLVD W  ,2021-11-09,Application Received,Proposed development consisting of a mixed use 10 storey mid rise building and a 33 storey tower.,"2405, 2407, 2409 - 2411, 2417 LAKE SHORE BLVD W",1919051450030000000
Etobicoke York District,OPA / Rezoning,21 235704 WET 03 OZ,2409-2411 LAKE SHORE BLVD W  ,2021-11-09,Application Received,Proposed development consisting of a mixed use 10 storey mid rise building and a 33 storey tower.,"2405, 2407, 2409 - 2411, 2417 LAKE SHORE BLVD W",1919051450031000000
Etobicoke York District,OPA / Rezoning,21 235704 WET 03 OZ,2407 LAKE SHORE BLVD W,2021-11-09,Application Received,Proposed development consisting of a mixed use 10 storey mid rise building and a 33 storey tower.,"2405, 2407, 2409 - 2411, 2417 LAKE SHORE BLVD W",1919051450034000000
Etobicoke York District,OPA / Rezoning,21 235704 WET 03 OZ,2405 LAKE SHORE BLVD W  ,2021-11-09,Application Received,Proposed development consisting of a mixed use 10 storey mid rise building and a 33 storey tower.,"2405, 2407, 2409 - 2411, 2417 LAKE SHORE BLVD W",1919051450035000000
Toronto and East York District,OPA / Rezoning,21 235939 STE 11 OZ,32 SCOLLARD ST    ,2021-11-09,Application Received,"The application is proposing a mixed-use residential development supported by retail and office

uses on the subject site.",32 SCOLLARD ST,1904052310021000000
Toronto and East York District,OPA / Rezoning,21 235947 STE 10 OZ,47 CAMDEN ST    ,2021-11-09,Application Received,,39-47 CAMDEN ST,1904062450003000000
Toronto and East York District,OPA / Rezoning,21 235947 STE 10 OZ,45 CAMDEN ST    ,2021-11-09,Application Received,,39-47 CAMDEN ST,1904062450004000000
Toronto and East York District,OPA / Rezoning,21 235947 STE 10 OZ,39 CAMDEN ST    ,2021-11-09,Application Received,,39-47 CAMDEN ST,1904062450005000000
Toronto and East York District,OPA / Rezoning,21 235446 STE 13 OZ,49 YONGE ST    ,2021-11-08,Under Review ,Zoning by-law amendment application for a 60-storey mixed-use building having a non-residential gross floor area of 1701 square metres and a residential gross floor area of 20320 square metres.  A total of 258 dwelling units are proposed.,49-51 YONGE ST,1904064220001000000
Toronto and East York District,OPA / Rezoning,21 235446 STE 13 OZ,51 YONGE ST    ,2021-11-08,Under Review ,Zoning by-law amendment application for a 60-storey mixed-use building having a non-residential gross floor area of 1701 square metres and a residential gross floor area of 20320 square metres.  A total of 258 dwelling units are proposed.,49-51 YONGE ST,1904064220002000000
Toronto and East York District,OPA / Rezoning,21 235352 STE 12 OZ,2042 YONGE ST    ,2021-11-08,Application Received,"Zoning By-law amendment for a 14-storey mixed-use building having a non-residential gross floor area of 2863 square metres, and a residential gross floor area of 15683 square metres.  164 residential units are proposed.",2010-2050 YONGE ST,1904
Toronto and East York District,OPA / Rezoning,21 235352 STE 12 OZ,2026 YONGE ST    ,2021-11-08,Application Received,"Zoning By-law amendment for a 14-storey mixed-use building having a non-residential gross floor area of 2863 square metres, and a residential gross floor area of 15683 square metres.  164 residential units are proposed.",2010-2050 YONGE ST,1904114030027000000
Toronto and East York District,OPA / Rezoning,21 235352 STE 12 OZ,2010 YONGE ST    ,2021-11-08,Application Received,"Zoning By-law amendment for a 14-storey mixed-use building having a non-residential gross floor area of 2863 square metres, and a residential gross floor area of 15683 square metres.  164 residential units are proposed.",2010-2050 YONGE ST,1904114030028000000
Toronto and East York District,OPA / Rezoning,21 235352 STE 12 OZ,2044 YONGE ST    ,2021-11-08,Application Received,"Zoning By-law amendment for a 14-storey mixed-use building having a non-residential gross floor area of 2863 square metres, and a residential gross floor area of 15683 square metres.  164 residential units are proposed.",2010-2050 YONGE ST,1904114030025500000
Toronto and East York District,OPA / Rezoning,21 235352 STE 12 OZ,2028 YONGE ST    ,2021-11-08,Application Received,"Zoning By-law amendment for a 14-storey mixed-use building having a non-residential gross floor area of 2863 square metres, and a residential gross floor area of 15683 square metres.  164 residential units are proposed.",2010-2050 YONGE ST,1904
Toronto and East York District,OPA / Rezoning,21 235352 STE 12 OZ,2030 YONGE ST    ,2021-11-08,Application Received,"Zoning By-law amendment for a 14-storey mixed-use building having a non-residential gross floor area of 2863 square metres, and a residential gross floor area of 15683 square metres.  164 residential units are proposed.",2010-2050 YONGE ST,1904
Toronto and East York District,OPA / Rezoning,21 235352 STE 12 OZ,2032 YONGE ST    ,2021-11-08,Application Received,"Zoning By-law amendment for a 14-storey mixed-use building having a non-residential gross floor area of 2863 square metres, and a residential gross floor area of 15683 square metres.  164 residential units are proposed.",2010-2050 YONGE ST,1904
Toronto and East York District,OPA / Rezoning,21 235352 STE 12 OZ,2034 YONGE ST    ,2021-11-08,Application Received,"Zoning By-law amendment for a 14-storey mixed-use building having a non-residential gross floor area of 2863 square metres, and a residential gross floor area of 15683 square metres.  164 residential units are proposed.",2010-2050 YONGE ST,1904
Toronto and East York District,OPA / Rezoning,21 235352 STE 12 OZ,2036 YONGE ST    ,2021-11-08,Application Received,"Zoning By-law amendment for a 14-storey mixed-use building having a non-residential gross floor area of 2863 square metres, and a residential gross floor area of 15683 square metres.  164 residential units are proposed.",2010-2050 YONGE ST,1904
Toronto and East York District,OPA / Rezoning,21 235352 STE 12 OZ,2038 YONGE ST    ,2021-11-08,Application Received,"Zoning By-law amendment for a 14-storey mixed-use building having a non-residential gross floor area of 2863 square metres, and a residential gross floor area of 15683 square metres.  164 residential units are proposed.",2010-2050 YONGE ST,1904
Toronto and East York District,OPA / Rezoning,21 235352 STE 12 OZ,2040 YONGE ST    ,2021-11-08,Application Received,"Zoning By-law amendment for a 14-storey mixed-use building having a non-residential gross floor area of 2863 square metres, and a residential gross floor area of 15683 square metres.  164 residential units are proposed.",2010-2050 YONGE ST,1904
Toronto and East York District,OPA / Rezoning,21 235352 STE 12 OZ,2046 YONGE ST    ,2021-11-08,Application Received,"Zoning By-law amendment for a 14-storey mixed-use building having a non-residential gross floor area of 2863 square metres, and a residential gross floor area of 15683 square metres.  164 residential units are proposed.",2010-2050 YONGE ST,1904
Toronto and East York District,OPA / Rezoning,21 235311 STE 12 OZ,45 BALLIOL ST    ,2021-11-08,Under Review ,"Zoning By-law Amendment to facilitate the redevelopment of the site for a 39-storey residential building having a gross floor area of 34,252 square metres, and containing 507 residential dwelling units.","45, 57-93 BALLIOL ST",1904103060010000000
North York District,OPA / Rezoning,21 235960 NNY 15 OZ,23 BRENTCLIFFE RD    ,2021-11-09,Application Received,,943-963 EGLINTON AVE E & 23 BRENTCLIFFE RD,1906043080003100000
North York District,OPA / Rezoning,21 235960 NNY 15 OZ,957 EGLINTON AVE E  ,2021-11-09,Application Received,,943-963 EGLINTON AVE E & 23 BRENTCLIFFE RD,1906043080003150000
North York District,OPA / Rezoning,21 235960 NNY 15 OZ,943 EGLINTON AVE E  ,2021-11-09,Application Received,,943-963 EGLINTON AVE E & 23 BRENTCLIFFE RD,1906
North York District,OPA / Rezoning,21 235960 NNY 15 OZ,945 EGLINTON AVE E  ,2021-11-09,Application Received,,943-963 EGLINTON AVE E & 23 BRENTCLIFFE RD,1906
North York District,OPA / Rezoning,21 235960 NNY 15 OZ,953A EGLINTON AVE E  ,2021-11-09,Application Received,,943-963 EGLINTON AVE E & 23 BRENTCLIFFE RD,1906
North York District,OPA / Rezoning,21 235960 NNY 15 OZ,953 EGLINTON AVE E  ,2021-11-09,Application Received,,943-963 EGLINTON AVE E & 23 BRENTCLIFFE RD,1906
North York District,OPA / Rezoning,21 235960 NNY 15 OZ,955 EGLINTON AVE E  ,2021-11-09,Application Received,,943-963 EGLINTON AVE E & 23 BRENTCLIFFE RD,1906
North York District,OPA / Rezoning,21 235960 NNY 15 OZ,961 EGLINTON AVE E  ,2021-11-09,Application Received,,943-963 EGLINTON AVE E & 23 BRENTCLIFFE RD,1906
North York District,OPA / Rezoning,21 235960 NNY 15 OZ,963 EGLINTON AVE E  ,2021-11-09,Application Received,,943-963 EGLINTON AVE E & 23 BRENTCLIFFE RD,1906
Toronto and East York District,OPA / Rezoning,21 235326 STE 11 OZ,595 BAY ST    ,2021-11-08,Application Received,,595 BAY ST,1904066460000100000
Toronto and East York District,OPA / Rezoning,21 235888 STE 12 OZ,2323 YONGE ST    ,2021-11-09,Application Received,,2323-2329 YONGE ST & 2345 YONGE ST,1904104180001000000
Toronto and East York District,OPA / Rezoning,21 235888 STE 12 OZ,2329 YONGE ST    ,2021-11-09,Application Received,,2323-2329 YONGE ST & 2345 YONGE ST,1904104180002000000
Toronto and East York District,OPA / Rezoning,21 235888 STE 12 OZ,2345 YONGE ST    ,2021-11-09,Application Received,,2323-2329 YONGE ST & 2345 YONGE ST,1904104180005610000
North York District,OPA / Rezoning,21 235569 NNY 18 OZ,500 SHEPPARD AVE E  ,2021-11-08,Application Received,"Zoning By-law Amendment application to facilitate the redevelopment of the site for 35 and 39-storey mixed use buildings having a residential gross floor area of 55,850 square metres, and a non-residential gross floor area of  2150 square metres.  928 dwelling units are proposed.",500 SHEPPARD AVE E,1908092010020000000
Etobicoke York District,OPA / Rezoning,21 235816 WET 07 OZ,20 BROADOAKS DR    ,2021-11-09,Under Review ,"Proposed development consists of two 4 storey residential townhouse blocks, a 12 storey mixed use building, and a 18 storey and 30 storey residential building.",11 CATFORD RD & 20 BROADOAKS DR,1908033290003000000
Etobicoke York District,OPA / Rezoning,21 235816 WET 07 OZ,11 CATFORD RD    ,2021-11-09,Under Review ,"Proposed development consists of two 4 storey residential townhouse blocks, a 12 storey mixed use building, and a 18 storey and 30 storey residential building.",11 CATFORD RD & 20 BROADOAKS DR,1908033290001010000
Toronto and East York District,OPA / Rezoning,21 237249 STE 10 OZ,778 KING ST W  ,2021-11-12,Application Received,"Zoning By-law amendment to facilitate the redevelopment of the site for an 18-storey mixed-use building having a non-residential gross floor area of 714 square metres, and a residential gross floor area of 24,126 square metres.  373 residential units are proposed.",778-788 KING ST W,1904041340067000000
