IBMS Reports,,,,,,,,
All Applications Received - Extract,,,,,,,,
Selected District: ALL,,,,,,,,
Selected Folder Type: OZ,,,,,,,,
Selected Folder Status: ALL,,,,,,,,
Selected Period: 11/01/2021 To 11/07/2021,,,,,,,,
District,Application Type,File Number,Address,InDate,Status,Folder Description,Folder Name,ARoll
North York District,OPA / Rezoning,21 233980 NNY 15 OZ,1837 BAYVIEW AVE    ,2021-11-04,Application Received,"Zoning By-law amendment to facilitate the redevelopment of the site for a 25-storey mixed-use building having a non-residential gross floor area of 256 square metres, and a residential gross floor area of 17,908.0 square metres.  A total of 288 residential units are proposed.",1837-1845 BAYVIEW AVE,1906045370002000000
North York District,OPA / Rezoning,21 233980 NNY 15 OZ,1839 BAYVIEW AVE    ,2021-11-04,Application Received,"Zoning By-law amendment to facilitate the redevelopment of the site for a 25-storey mixed-use building having a non-residential gross floor area of 256 square metres, and a residential gross floor area of 17,908.0 square metres.  A total of 288 residential units are proposed.",1837-1845 BAYVIEW AVE,1906045370003000000
North York District,OPA / Rezoning,21 233980 NNY 15 OZ,1841 BAYVIEW AVE    ,2021-11-04,Application Received,"Zoning By-law amendment to facilitate the redevelopment of the site for a 25-storey mixed-use building having a non-residential gross floor area of 256 square metres, and a residential gross floor area of 17,908.0 square metres.  A total of 288 residential units are proposed.",1837-1845 BAYVIEW AVE,1906045370004000000
North York District,OPA / Rezoning,21 233980 NNY 15 OZ,1843 BAYVIEW AVE    ,2021-11-04,Application Received,"Zoning By-law amendment to facilitate the redevelopment of the site for a 25-storey mixed-use building having a non-residential gross floor area of 256 square metres, and a residential gross floor area of 17,908.0 square metres.  A total of 288 residential units are proposed.",1837-1845 BAYVIEW AVE,1906045370005000000
North York District,OPA / Rezoning,21 233980 NNY 15 OZ,1845 BAYVIEW AVE    ,2021-11-04,Application Received,"Zoning By-law amendment to facilitate the redevelopment of the site for a 25-storey mixed-use building having a non-residential gross floor area of 256 square metres, and a residential gross floor area of 17,908.0 square metres.  A total of 288 residential units are proposed.",1837-1845 BAYVIEW AVE,1906045370006000000
Toronto and East York District,OPA / Rezoning,21 234506 STE 11 OZ,320-326 BLOOR ST W  ,2021-11-05,Application Received,"Zoning By-law amendment to facilitate the redevelopment of the site for a 37-storey mixed-use building having a non-residential gross floor area of 627.9 square metres, and a residential gross floor area of 31,231.27 square metres.  A total of 366 units are proposed.","320, 328, 332 BLOOR ST W",1904052140033000000
Toronto and East York District,OPA / Rezoning,21 234506 STE 11 OZ,328 BLOOR ST W  ,2021-11-05,Application Received,"Zoning By-law amendment to facilitate the redevelopment of the site for a 37-storey mixed-use building having a non-residential gross floor area of 627.9 square metres, and a residential gross floor area of 31,231.27 square metres.  A total of 366 units are proposed.","320, 328, 332 BLOOR ST W",1904052140034000000
Toronto and East York District,OPA / Rezoning,21 234506 STE 11 OZ,332 BLOOR ST W  ,2021-11-05,Application Received,"Zoning By-law amendment to facilitate the redevelopment of the site for a 37-storey mixed-use building having a non-residential gross floor area of 627.9 square metres, and a residential gross floor area of 31,231.27 square metres.  A total of 366 units are proposed.","320, 328, 332 BLOOR ST W",1904052140035000000
Toronto and East York District,OPA / Rezoning,21 234506 STE 11 OZ,320 BLOOR ST W  ,2021-11-05,Application Received,"Zoning By-law amendment to facilitate the redevelopment of the site for a 37-storey mixed-use building having a non-residential gross floor area of 627.9 square metres, and a residential gross floor area of 31,231.27 square metres.  A total of 366 units are proposed.","320, 328, 332 BLOOR ST W",1904
Etobicoke York District,OPA / Rezoning,21 232816 WET 03 OZ,5230 DUNDAS ST W  ,2021-11-01,Under Review ,"Proposed development into 4 development blocks, buildings ranging from 10 storeys to 45 storeys, mixed use and containing 2,130 residential apartment units.",5230 DUNDAS ST W & 3825 BLOOR ST W,1919031410017000000
Toronto and East York District,OPA / Rezoning,21 235163 STE 13 OZ,410 SHERBOURNE ST    ,2021-11-07,Application Received,"Zoning By-law Amendment Application to facilitate the redevelopment of the site for a 39-storey mixed-use building having a non-residential gross floor area of 281 square metres, and a residential gross floor area of 30,419 square metres.  ",410 SHERBOURNE ST,1904068010050000000
North York District,OPA / Rezoning,21 233301 NNY 17 OZ,11 GREENBRIAR RD    ,2021-11-02,Under Review ,Zoning By-law Amendment Application for a 4-storey mixed-use building having a residential gross floor area of 1991.10 square metres.  A total of 29 residential units are proposed.,11 GREENBRIAR RD,1908113020071000000
Toronto and East York District,OPA / Rezoning,21 234490 STE 13 OZ,619 YONGE ST    ,2021-11-05,Application Received,"Official Plan and Zoning by-law amendment to facilitate the redevelopment of the site for a 57-storey mixed-use building having a non-residential gross floor area of 3133.48 square metres, and a residential gross floor area of 46114.38 square metres.  A total of 606 dwelling units are proposed.",619-637 YONGE ST & 1-9 ISABELLA ST,1904068410004000000
Toronto and East York District,OPA / Rezoning,21 234490 STE 13 OZ,625 YONGE ST    ,2021-11-05,Application Received,"Official Plan and Zoning by-law amendment to facilitate the redevelopment of the site for a 57-storey mixed-use building having a non-residential gross floor area of 3133.48 square metres, and a residential gross floor area of 46114.38 square metres.  A total of 606 dwelling units are proposed.",619-637 YONGE ST & 1-9 ISABELLA ST,1904068410005000000
